id,set_id
oai:repositorio.utn.edu.ec:123456789/12789,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12302,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12485,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/13293,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/11950,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/13314,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12004,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12348,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12501,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12303,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12905,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12050,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12870,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/13189,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12234,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/13004,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12444,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12487,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12442,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/13228,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12112,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12470,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12791,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/13066,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/13229,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12438,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12957,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/13005,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12873,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12678,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12458,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12677,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12918,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12639,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/12917,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8550,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8549,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7799,col_123456789_40
